Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
China,"1,311,020,000.0","1,317,885,000.0","1,324,655,000.0","1,331,260,000.0","1,337,705,000.0","1,344,130,000.0","1,350,695,000.0","1,357,380,000.0","1,364,270,000.0",..
Colombia,"43,835,744.0","44,374,647.0","44,901,660.0","45,416,276.0","45,918,101.0","46,406,446.0","46,881,018.0","47,342,363.0","47,791,393.0",..
Comoros,"633,814.0","649,404.0","665,414.0","681,845.0","698,695.0","715,972.0","733,661.0","751,697.0","769,991.0",..
"Congo, Dem. Rep.","57,926,840.0","59,834,875.0","61,809,278.0","63,845,097.0","65,938,712.0","68,087,376.0","70,291,160.0","72,552,861.0","74,877,030.0",..
"Congo, Rep.","3,604,595.0","3,715,665.0","3,832,771.0","3,950,786.0","4,066,078.0","4,177,435.0","4,286,188.0","4,394,334.0","4,504,962.0",..
Costa Rica,"4,308,790.0","4,369,465.0","4,429,506.0","4,488,261.0","4,545,273.0","4,600,487.0","4,654,148.0","4,706,433.0","4,757,606.0",..
Cote d'Ivoire,"18,486,392.0","18,862,172.0","19,261,647.0","19,684,909.0","20,131,707.0","20,604,172.0","21,102,641.0","21,622,490.0","22,157,107.0",..
Croatia,"4,440,000.0","4,436,000.0","4,434,508.0","4,429,078.0","4,417,781.0","4,280,622.0","4,267,558.0","4,255,689.0","4,238,389.0",..
Cuba,"11,275,199.0","11,284,043.0","11,290,239.0","11,297,442.0","11,308,133.0","11,323,570.0","11,342,631.0","11,362,505.0","11,379,111.0",..
Curacao,"141,239.0","144,056.0","145,880.0","146,833.0","148,703.0","150,831.0","152,088.0","153,821.0","155,872.0",..
Cyprus,"1,048,293.0","1,063,040.0","1,077,010.0","1,090,486.0","1,103,685.0","1,116,644.0","1,129,303.0","1,141,652.0","1,153,658.0",..
Czech Republic,"10,238,905.0","10,298,828.0","10,384,603.0","10,443,936.0","10,474,410.0","10,496,088.0","10,510,785.0","10,514,272.0","10,510,566.0",..
Denmark,"5,437,272.0","5,461,438.0","5,493,621.0","5,523,095.0","5,547,683.0","5,570,572.0","5,591,572.0","5,614,932.0","5,639,565.0",..
Djibouti,"788,941.0","799,309.0","809,639.0","820,097.0","830,802.0","841,802.0","853,069.0","864,554.0","876,174.0",..
Dominica,"70,690.0","70,795.0","70,881.0","70,995.0","71,167.0","71,402.0","71,685.0","72,005.0","72,341.0",..
Dominican Republic,"9,371,333.0","9,504,336.0","9,636,491.0","9,767,737.0","9,897,983.0","10,027,140.0","10,155,036.0","10,281,408.0","10,405,943.0",..
Ecuador,"13,967,490.0","14,205,479.0","14,447,600.0","14,691,310.0","14,934,692.0","15,177,280.0","15,419,493.0","15,661,312.0","15,902,916.0",..
"Egypt, Arab Rep.","76,274,285.0","77,605,327.0","78,976,122.0","80,442,443.0","82,040,994.0","83,787,634.0","85,660,902.0","87,613,909.0","89,579,670.0",..
El Salvador,"5,967,556.0","5,986,414.0","6,004,199.0","6,021,368.0","6,038,306.0","6,055,208.0","6,072,233.0","6,089,644.0","6,107,706.0",..
Equatorial Guinea,"645,718.0","665,798.0","686,223.0","707,155.0","728,710.0","750,918.0","773,729.0","797,082.0","820,885.0",..
Eritrea,"4,304,440.0","4,406,299.0","4,500,638.0","4,593,549.0","4,689,664.0","4,789,568.0","4,892,233.0","4,998,824.0","5,110,444.0",..
Estonia,"1,346,810.0","1,340,680.0","1,337,090.0","1,334,515.0","1,331,475.0","1,327,439.0","1,322,696.0","1,317,997.0","1,313,645.0",..
Ethiopia,"78,735,675.0","80,891,968.0","83,079,608.0","85,302,099.0","87,561,814.0","89,858,696.0","92,191,211.0","94,558,374.0","96,958,732.0",..
Faeroe Islands,"48,505.0","48,599.0","48,629.0","48,613.0","48,567.0","48,492.0","48,393.0","48,292.0","48,221.0",..
Fiji,"827,390.0","834,729.0","843,206.0","851,854.0","859,952.0","867,327.0","874,158.0","880,487.0","886,450.0",..
Finland,"5,266,268.0","5,288,720.0","5,313,399.0","5,338,871.0","5,363,352.0","5,388,272.0","5,413,971.0","5,438,972.0","5,463,596.0",..
France,"63,621,376.0","64,016,229.0","64,374,990.0","64,707,044.0","65,027,512.0","65,342,776.0","65,639,975.0","65,925,498.0","66,206,930.0",..
French Polynesia,"257,731.0","260,361.0","262,877.0","265,412.0","268,065.0","270,862.0","273,775.0","276,766.0","279,781.0",..
Gabon,"1,408,920.0","1,440,902.0","1,473,741.0","1,507,428.0","1,541,936.0","1,577,298.0","1,613,489.0","1,650,351.0","1,687,673.0",..
"Gambia, The","1,487,731.0","1,536,424.0","1,586,749.0","1,638,899.0","1,693,002.0","1,749,099.0","1,807,108.0","1,866,878.0","1,928,201.0",..
Georgia,"4,398,000.0","4,388,400.0","4,383,800.0","4,410,900.0","4,452,800.0","4,483,350.0","4,490,700.0","4,487,200.0","4,504,100.0",..
Germany,"82,376,451.0","82,266,372.0","82,110,097.0","81,902,307.0","81,776,930.0","81,797,673.0","80,425,823.0","80,645,605.0","80,889,505.0",..
Ghana,"21,951,891.0","22,528,041.0","23,115,919.0","23,713,164.0","24,317,734.0","24,928,503.0","25,544,565.0","26,164,432.0","26,786,598.0",..
Greece,"11,127,947.0","11,163,002.0","11,186,439.0","11,187,085.0","11,153,454.0","11,123,213.0","11,092,771.0","11,027,549.0","10,957,740.0",..
Greenland,"56,774.0","56,555.0","56,328.0","56,323.0","56,905.0","56,890.0","56,810.0","56,483.0","56,295.0",..
Grenada,"103,259.0","103,587.0","103,934.0","104,298.0","104,677.0","105,070.0","105,476.0","105,902.0","106,349.0",..
Guam,"158,429.0","158,332.0","158,310.0","158,621.0","159,440.0","160,858.0","162,807.0","165,121.0","167,543.0",..
Guatemala,"13,490,041.0","13,797,629.0","14,106,687.0","14,418,033.0","14,732,261.0","15,049,280.0","15,368,759.0","15,690,793.0","16,015,494.0",..
Guinea,"9,898,301.0","10,152,521.0","10,427,356.0","10,715,770.0","11,012,406.0","11,316,351.0","11,628,767.0","11,948,726.0","12,275,527.0",..
Guinea-Bissau,"1,494,603.0","1,527,342.0","1,561,293.0","1,596,832.0","1,634,196.0","1,673,509.0","1,714,620.0","1,757,138.0","1,800,513.0",..
Guyana,"743,705.0","745,638.0","748,096.0","750,749.0","753,362.0","755,883.0","758,410.0","761,033.0","763,893.0",..
Haiti,"9,409,479.0","9,556,958.0","9,705,130.0","9,852,953.0","9,999,617.0","10,144,890.0","10,288,828.0","10,431,249.0","10,572,029.0",..
Honduras,"7,007,029.0","7,133,737.0","7,259,470.0","7,383,098.0","7,503,875.0","7,621,414.0","7,736,131.0","7,849,059.0","7,961,680.0",..
"Hong Kong SAR, China","6,857,100.0","6,916,300.0","6,957,800.0","6,972,800.0","7,024,200.0","7,071,600.0","7,154,600.0","7,187,500.0","7,241,700.0",..
Hungary,"10,071,370.0","10,055,780.0","10,038,188.0","10,022,650.0","10,000,023.0","9,971,727.0","9,920,362.0","9,893,082.0","9,861,673.0",..
Iceland,"303,782.0","311,566.0","317,414.0","318,499.0","318,041.0","319,014.0","320,716.0","323,764.0","327,589.0",..
India,"1,162,088,305.0","1,179,685,631.0","1,197,070,109.0","1,214,182,182.0","1,230,984,504.0","1,247,446,011.0","1,263,589,639.0","1,279,498,874.0","1,295,291,543.0",..
Indonesia,"229,263,980.0","232,296,830.0","235,360,765.0","238,465,165.0","241,613,126.0","244,808,254.0","248,037,853.0","251,268,276.0","254,454,778.0",..
"Iran, Islamic Rep.","70,923,164.0","71,720,859.0","72,530,693.0","73,370,982.0","74,253,373.0","75,184,322.0","76,156,975.0","77,152,445.0","78,143,644.0",..
Iraq,"27,716,983.0","28,423,538.0","29,163,327.0","29,970,634.0","30,868,156.0","31,810,191.0","32,780,975.0","33,781,385.0","34,812,326.0",..
Ireland,"4,273,591.0","4,398,942.0","4,489,544.0","4,535,375.0","4,560,155.0","4,576,794.0","4,586,897.0","4,598,294.0","4,612,719.0",..
Isle of Man,"81,110.0","81,914.0","82,737.0","83,548.0","84,327.0","85,069.0","85,779.0","86,462.0","87,127.0",..
Israel,"7,053,700.0","7,180,100.0","7,308,800.0","7,485,600.0","7,623,600.0","7,765,800.0","7,910,500.0","8,059,500.0","8,215,300.0",..
Italy,"58,143,979.0","58,438,310.0","58,826,731.0","59,095,365.0","59,277,417.0","59,379,449.0","59,539,717.0","60,233,948.0","61,336,387.0",..
Jamaica,"2,653,042.0","2,662,481.0","2,671,934.0","2,681,386.0","2,690,824.0","2,699,838.0","2,707,805.0","2,714,734.0","2,721,252.0",..
Japan,"127,854,000.0","128,001,000.0","128,063,000.0","128,047,000.0","128,070,000.0","127,817,277.0","127,561,489.0","127,338,621.0","127,131,800.0",..
Jordan,"5,536,000.0","5,661,000.0","5,786,000.0","5,915,000.0","6,046,000.0","6,181,000.0","6,318,000.0","6,460,000.0","6,607,000.0",..
Kazakhstan,"15,308,084.0","15,484,192.0","15,674,000.0","16,092,701.0","16,321,581.0","16,556,600.0","16,791,425.0","17,035,275.0","17,289,111.0",..
Kenya,"36,286,015.0","37,250,540.0","38,244,442.0","39,269,988.0","40,328,313.0","41,419,954.0","42,542,978.0","43,692,881.0","44,863,583.0",..
Kiribati,"94,257.0","96,310.0","98,437.0","100,566.0","102,648.0","104,662.0","106,620.0","108,544.0","110,470.0",..
"Korea, Dem. Rep.","23,969,897.0","24,111,945.0","24,243,829.0","24,371,806.0","24,500,506.0","24,631,359.0","24,763,353.0","24,895,705.0","25,026,772.0",..
"Korea, Rep.","48,371,946.0","48,597,652.0","48,948,698.0","49,182,038.0","49,410,366.0","49,779,440.0","50,004,441.0","50,219,669.0","50,423,955.0",..
Kosovo,"1,719,536.0","1,733,404.0","1,747,383.0","1,761,474.0","1,775,680.0","1,790,957.0","1,805,200.0","1,818,117.0","1,823,149.0",..
Kuwait,"2,389,498.0","2,538,591.0","2,705,290.0","2,881,243.0","3,059,473.0","3,239,181.0","3,419,581.0","3,593,689.0","3,753,121.0",..
Kyrgyz Republic,"5,218,400.0","5,268,400.0","5,318,700.0","5,383,300.0","5,447,900.0","5,514,600.0","5,607,200.0","5,719,600.0","5,834,200.0",..
Lao PDR,"5,838,837.0","5,939,634.0","6,045,439.0","6,153,153.0","6,260,544.0","6,366,909.0","6,473,050.0","6,579,985.0","6,689,300.0",..
Latvia,"2,218,357.0","2,200,325.0","2,177,322.0","2,141,669.0","2,097,555.0","2,059,709.0","2,034,319.0","2,012,647.0","1,990,351.0",..
Lebanon,"4,057,041.0","4,085,426.0","4,109,389.0","4,181,742.0","4,337,156.0","4,388,637.0","4,440,728.0","4,493,438.0","4,546,774.0",..
Lesotho,"1,940,345.0","1,955,656.0","1,972,194.0","1,990,413.0","2,010,586.0","2,032,950.0","2,057,331.0","2,083,061.0","2,109,197.0",..
Liberia,"3,384,804.0","3,522,337.0","3,672,782.0","3,821,498.0","3,957,990.0","4,079,574.0","4,190,155.0","4,293,692.0","4,396,554.0",..
Libya,"5,907,149.0","6,017,794.0","6,123,022.0","6,208,680.0","6,265,697.0","6,288,652.0","6,283,403.0","6,265,987.0","6,258,984.0",..
Liechtenstein,"35,141.0","35,431.0","35,721.0","36,004.0","36,276.0","36,537.0","36,791.0","37,040.0","37,286.0",..
Lithuania,"3,269,909.0","3,231,294.0","3,198,231.0","3,162,916.0","3,097,282.0","3,028,115.0","2,987,773.0","2,957,689.0","2,929,323.0",..
Luxembourg,"472,637.0","479,993.0","488,650.0","497,783.0","506,953.0","518,347.0","530,946.0","543,360.0","556,074.0",..
"Macao SAR, China","479,728.0","493,022.0","507,274.0","521,405.0","534,626.0","546,682.0","557,763.0","568,056.0","577,914.0",..
"Macedonia, FYR","2,047,330.0","2,051,427.0","2,055,266.0","2,058,920.0","2,062,443.0","2,065,888.0","2,069,270.0","2,072,543.0","2,075,625.0",..
Madagascar,"18,826,129.0","19,371,031.0","19,926,798.0","20,495,706.0","21,079,532.0","21,678,867.0","22,293,720.0","22,924,557.0","23,571,713.0",..
Malawi,"13,112,383.0","13,498,377.0","13,904,671.0","14,329,056.0","14,769,824.0","15,226,813.0","15,700,436.0","16,190,126.0","16,695,253.0",..
Malaysia,"26,263,048.0","26,730,607.0","27,197,419.0","27,661,017.0","28,119,500.0","28,572,970.0","29,021,940.0","29,465,372.0","29,901,997.0",..
Maldives,"333,000.0","349,000.0","362,000.0","360,000.0","367,000.0","377,000.0","385,000.0","393,000.0","401,000.0",..
Mali,"13,309,942.0","13,759,226.0","14,223,403.0","14,694,565.0","15,167,286.0","15,639,115.0","16,112,333.0","16,592,097.0","17,086,022.0",..
Malta,"405,308.0","406,724.0","409,379.0","412,477.0","414,508.0","416,268.0","419,455.0","423,374.0","427,404.0",..
Marshall Islands,"52,080.0","52,136.0","52,221.0","52,321.0","52,428.0","52,541.0","52,663.0","52,786.0","52,898.0",..
Mauritania,"3,241,762.0","3,328,285.0","3,414,552.0","3,501,927.0","3,591,400.0","3,683,221.0","3,777,067.0","3,872,684.0","3,969,625.0",..
Mauritius,"1,233,996.0","1,239,630.0","1,244,121.0","1,247,429.0","1,250,400.0","1,252,404.0","1,255,882.0","1,258,653.0","1,260,934.0",..
Mexico,"111,382,857.0","113,139,374.0","114,972,821.0","116,815,612.0","118,617,542.0","120,365,271.0","122,070,963.0","123,740,109.0","125,385,833.0",..
"Micronesia, Fed. Sts.","105,680.0","105,080.0","104,472.0","103,961.0","103,619.0","103,476.0","103,516.0","103,718.0","104,044.0",..
Moldova,"3,585,209.0","3,576,910.0","3,570,108.0","3,565,604.0","3,562,045.0","3,559,986.0","3,559,519.0","3,558,566.0","3,556,400.0",..
Monaco,"34,384.0","35,046.0","35,731.0","36,351.0","36,845.0","37,189.0","37,404.0","37,528.0","37,623.0",..
Mongolia,"2,558,484.0","2,592,776.0","2,629,666.0","2,669,572.0","2,712,657.0","2,759,074.0","2,808,339.0","2,859,174.0","2,909,871.0",..
Montenegro,"615,025.0","615,875.0","616,969.0","618,294.0","619,428.0","620,079.0","620,601.0","621,207.0","621,800.0",..
Morocco,"30,691,434.0","31,011,322.0","31,350,544.0","31,714,958.0","32,107,739.0","32,531,964.0","32,984,190.0","33,452,686.0","33,921,203.0",..
Mozambique,"21,737,860.0","22,359,637.0","22,994,867.0","23,647,815.0","24,321,457.0","25,016,921.0","25,732,928.0","26,467,180.0","27,216,276.0",..
Myanmar,"50,355,559.0","50,698,814.0","51,030,006.0","51,369,725.0","51,733,013.0","52,125,411.0","52,543,841.0","52,983,829.0","53,437,159.0",..
Namibia,"2,053,915.0","2,083,174.0","2,115,703.0","2,152,357.0","2,193,643.0","2,240,161.0","2,291,645.0","2,346,592.0","2,402,858.0",..
Nepal,"25,794,344.0","26,063,619.0","26,325,183.0","26,592,666.0","26,875,910.0","27,179,237.0","27,500,515.0","27,834,981.0","28,174,724.0",..
Netherlands,"16,346,101.0","16,381,696.0","16,445,593.0","16,530,388.0","16,615,394.0","16,693,074.0","16,754,962.0","16,804,432.0","16,854,183.0",..
New Caledonia,"235,314.0","238,902.0","242,546.0","246,245.0","250,000.0","254,000.0","258,000.0","262,000.0","266,000.0",..
New Zealand,"4,184,600.0","4,223,800.0","4,259,800.0","4,302,600.0","4,350,700.0","4,384,000.0","4,408,100.0","4,442,100.0","4,509,700.0",..
Nicaragua,"5,450,217.0","5,522,119.0","5,594,524.0","5,666,595.0","5,737,722.0","5,807,787.0","5,877,034.0","5,945,646.0","6,013,913.0",..
Niger,"13,995,530.0","14,527,631.0","15,085,130.0","15,672,194.0","16,291,990.0","16,946,485.0","17,635,782.0","18,358,863.0","19,113,728.0",..
Nigeria,"143,318,011.0","147,152,502.0","151,115,683.0","155,207,145.0","159,424,742.0","163,770,669.0","168,240,403.0","172,816,517.0","177,475,986.0",..
Northern Mariana Islands,"62,235.0","59,791.0","57,343.0","55,276.0","53,860.0","53,234.0","53,314.0","53,869.0","54,541.0",..
Norway,"4,660,677.0","4,709,153.0","4,768,212.0","4,828,726.0","4,889,252.0","4,953,088.0","5,018,573.0","5,079,623.0","5,136,475.0",..
Oman,"2,553,376.0","2,593,750.0","2,652,281.0","2,762,073.0","2,943,747.0","3,210,003.0","3,545,192.0","3,906,912.0","4,236,057.0",..
Pakistan,"156,524,189.0","159,767,672.0","163,096,985.0","166,520,983.0","170,043,918.0","173,669,648.0","177,392,252.0","181,192,646.0","185,044,286.0",..
Palau,"20,012.0","20,118.0","20,227.0","20,344.0","20,470.0","20,606.0","20,756.0","20,919.0","21,097.0",..
Panama,"3,378,600.0","3,438,398.0","3,498,679.0","3,559,401.0","3,620,506.0","3,681,979.0","3,743,761.0","3,805,683.0","3,867,535.0",..
Papua New Guinea,"6,236,158.0","6,387,470.0","6,540,267.0","6,693,799.0","6,847,517.0","7,001,172.0","7,154,870.0","7,308,864.0","7,463,577.0",..
Paraguay,"5,882,797.0","5,966,160.0","6,047,131.0","6,127,847.0","6,209,877.0","6,293,763.0","6,379,162.0","6,465,669.0","6,552,518.0",..
Peru,"27,949,958.0","28,292,768.0","28,642,048.0","29,001,563.0","29,373,644.0","29,759,891.0","30,158,768.0","30,565,461.0","30,973,148.0",..
Philippines,"87,592,899.0","88,965,508.0","90,297,115.0","91,641,881.0","93,038,902.0","94,501,233.0","96,017,322.0","97,571,676.0","99,138,690.0",..
Poland,"38,141,267.0","38,120,560.0","38,125,759.0","38,151,603.0","38,042,794.0","38,063,255.0","38,063,164.0","38,040,196.0","37,995,529.0",..
Portugal,"10,522,288.0","10,542,964.0","10,558,177.0","10,568,247.0","10,573,100.0","10,557,560.0","10,514,844.0","10,457,295.0","10,397,393.0",..
Puerto Rico,"3,805,214.0","3,782,995.0","3,760,866.0","3,740,410.0","3,721,527.0","3,686,771.0","3,642,281.0","3,595,839.0","3,548,397.0",..
Qatar,"988,448.0","1,178,955.0","1,388,962.0","1,591,151.0","1,765,513.0","1,905,437.0","2,015,624.0","2,101,288.0","2,172,065.0",..
Romania,"21,193,760.0","20,882,982.0","20,537,875.0","20,367,487.0","20,246,871.0","20,147,528.0","20,058,035.0","19,983,693.0","19,910,995.0",..
Russian Federation,"143,049,528.0","142,805,088.0","142,742,350.0","142,785,342.0","142,849,449.0","142,960,868.0","143,201,676.0","143,506,911.0","143,819,569.0",..
Rwanda,"9,231,041.0","9,481,083.0","9,750,314.0","10,024,594.0","10,293,669.0","10,556,429.0","10,817,350.0","11,078,095.0","11,341,544.0",..
Samoa,"181,072.0","182,238.0","183,440.0","184,700.0","186,029.0","187,434.0","188,901.0","190,390.0","191,845.0",..
San Marino,"29,568.0","29,874.0","30,160.0","30,431.0","30,690.0","30,938.0","31,172.0","31,391.0","31,595.0",..
Sao Tome and Principe,"156,584.0","160,064.0","163,595.0","167,196.0","170,880.0","174,646.0","178,484.0","182,386.0","186,342.0",..
Saudi Arabia,"25,419,994.0","26,083,522.0","26,742,842.0","27,409,491.0","28,090,647.0","28,788,438.0","29,496,047.0","30,201,051.0","30,886,545.0",..
Senegal,"11,578,430.0","11,897,230.0","12,229,703.0","12,581,624.0","12,956,791.0","13,357,003.0","13,780,108.0","14,221,041.0","14,672,557.0",..
Serbia,"7,411,569.0","7,381,579.0","7,350,222.0","7,320,807.0","7,291,436.0","7,234,099.0","7,199,077.0","7,164,132.0","7,129,428.0",..
Seychelles,"84,600.0","85,033.0","86,956.0","87,298.0","89,770.0","87,441.0","88,303.0","89,900.0","91,526.0",..
Sierra Leone,"5,243,214.0","5,391,108.0","5,521,838.0","5,647,194.0","5,775,902.0","5,908,908.0","6,043,157.0","6,178,859.0","6,315,627.0",..
Singapore,"4,401,400.0","4,588,600.0","4,839,400.0","4,987,600.0","5,076,700.0","5,183,700.0","5,312,400.0","5,399,200.0","5,469,700.0",..
Sint Maarten (Dutch part),"38,270.0","39,462.0","40,458.0","39,133.0","35,474.0","33,435.0","34,640.0","36,607.0","37,664.0",..
Slovak Republic,"5,373,054.0","5,374,622.0","5,379,233.0","5,386,406.0","5,391,428.0","5,398,384.0","5,407,579.0","5,413,393.0","5,418,506.0",..
Slovenia,"2,006,868.0","2,018,122.0","2,021,316.0","2,039,669.0","2,048,583.0","2,052,843.0","2,057,159.0","2,059,953.0","2,062,218.0",..
Solomon Islands,"480,716.0","492,075.0","503,410.0","514,767.0","526,177.0","537,648.0","549,162.0","560,685.0","572,171.0",..
Somalia,"8,686,939.0","8,909,015.0","9,132,589.0","9,356,827.0","9,581,714.0","9,806,670.0","10,033,630.0","10,268,157.0","10,517,569.0",..
South Africa,"47,991,699.0","48,656,506.0","49,344,228.0","50,055,701.0","50,791,808.0","51,553,479.0","52,341,695.0","53,157,490.0","54,001,953.0",..
South Sudan,"8,445,659.0","8,815,495.0","9,208,598.0","9,623,176.0","10,056,475.0","10,510,122.0","10,980,623.0","11,453,810.0","11,911,184.0",..
Spain,"44,397,319.0","45,226,803.0","45,954,106.0","46,362,946.0","46,576,897.0","46,742,697.0","46,773,055.0","46,620,045.0","46,404,602.0",..
Sri Lanka,"19,858,000.0","20,039,000.0","20,246,000.0","20,450,000.0","20,653,000.0","20,869,000.0","20,328,000.0","20,483,000.0","20,639,000.0",..
