"","Country.Name","population"
"181","St. Martin (French part)","31,530.0"
"182","St. Vincent and the Grenadines","109,360.0"
"183","Sudan","39,350,274.0"
"184","Suriname","538,248.0"
"185","Swaziland","1,269,112.0"
"186","Sweden","9,689,555.0"
"187","Switzerland","8,190,229.0"
"188","Syrian Arab Republic","22,157,800.0"
"189","Tajikistan","8,295,840.0"
"190","Tanzania","51,822,621.0"
"191","Thailand","67,725,979.0"
"192","Timor-Leste","1,212,107.0"
"193","Togo","7,115,163.0"
"194","Tonga","105,586.0"
"195","Trinidad and Tobago","1,354,483.0"
"196","Tunisia","10,996,600.0"
"197","Turkey","75,932,348.0"
"198","Turkmenistan","5,307,188.0"
"199","Turks and Caicos Islands","33,740.0"
"200","Tuvalu","9,893.0"
"201","Uganda","37,782,971.0"
"202","Ukraine","45,362,900.0"
"203","United Arab Emirates","9,086,139.0"
"204","United Kingdom","64,510,376.0"
"205","United States","318,857,056.0"
"206","Uruguay","3,419,516.0"
"207","Uzbekistan","30,757,700.0"
"208","Vanuatu","258,883.0"
"209","Venezuela, RB","30,693,827.0"
"210","Vietnam","90,730,000.0"
"211","Virgin Islands (U.S.)","104,170.0"
"212","West Bank and Gaza","4,294,682.0"
"213","Yemen, Rep.","26,183,676.0"
"214","Zambia","15,721,343.0"
"215","Zimbabwe","15,245,855.0"
